"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 08 16:54:24 GMT 2023","Mon May 08 16:54:25 GMT 2023","1041","","FunctionsTest","","FunctionsTest","testRegister","Register to Blondesite","Register a new account to Blondesite page, by providing username, email address and password"
"passed","Mon May 08 16:54:25 GMT 2023","Mon May 08 16:54:27 GMT 2023","2480","","FunctionsTest","","FunctionsTest","testLogin","Login to Blondesite","Login to Blondesite page, using appropriate username and password"
"passed","Mon May 08 16:55:04 GMT 2023","Mon May 08 16:55:10 GMT 2023","6075","","FunctionsTest","","FunctionsTest","testGetListTypes","List Types","As a logged in user:
    Check if the structure of the list types equals with the content of the expected json file"
"passed","Mon May 08 16:54:27 GMT 2023","Mon May 08 16:54:30 GMT 2023","2294","","FunctionsTest","","FunctionsTest","testLogOut","Logout from Blondesite","As a logged in user:
     Click on Logout button"
"passed","Mon May 08 16:54:46 GMT 2023","Mon May 08 16:55:04 GMT 2023","18297","","FunctionsTest","","FunctionsTest","testChangeTextAndNavigateBack","Change Text","As a logged in user:
    Change the content of the textarea based on the provided file and navigate back to index page"
"passed","Mon May 08 16:54:30 GMT 2023","Mon May 08 16:54:36 GMT 2023","5998","","FunctionsTest","","FunctionsTest","testTableData","Comparing Table Data","As a logged in user:
    Verifying that the table content equals with the expected file's content"
"passed","Mon May 08 16:54:41 GMT 2023","Mon May 08 16:54:46 GMT 2023","5054","","FunctionsTest","","FunctionsTest","testKatexSelectButtonVisibleValue","Verify Selected Value","As a logged in user:
    Verifying that the chosen select option is displayed"
"passed","Mon May 08 16:54:36 GMT 2023","Mon May 08 16:54:41 GMT 2023","5365","","FunctionsTest","","FunctionsTest","testKatexSelectButtonArray","Select Options","As a logged in user:
    Verifying that the options in the select menu are equals with the expected ones"
